2025-02-09 14:40:31,157 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:40:31,158 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\KT\Desktop\WS-LPII-CL2\LPII_CL2_LEONALMERCODANIEL\src\test\resources
2025-02-09 14:40:40,237 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:40:40,239 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2025-02-09 14:40:40,240 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:40:40,240 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\KT\Desktop\WS-LPII-CL2\LPII_CL2_LEONALMERCODANIEL\src\test\resources
2025-02-09 14:40:42,410 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:40:42,411 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2025-02-09 14:40:42,412 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:40:42,412 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\KT\Desktop\WS-LPII-CL2\LPII_CL2_LEONALMERCODANIEL\src\test\resources
2025-02-09 14:40:44,137 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:40:44,138 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2025-02-09 14:40:44,138 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
